1961/05/05,Bob and Jerry,Arroyo Lounge,Stanford University,Palo Alto,CA,"(Robert Hunter and Jerry Garcia; source: McNally, Jackson research)"
1961/05/26,Bob and Jerry,Barbara Meier's 16th birthday party,,Menlo Park,CA,(*included on Before The Dead; birthday doodle for Barbara by Jerry; the master tape)
I:,Follow The Drinking Gourd,,,,,
,John Henry,,,,,
,Santy Anno*,,,,,
,Poor Paddy Works On The Railway,,,,,
,I've Got A Home In That Rock*,,,,,
,Oh,,,,,
,Mary Don't You Weep*,,,,,
,Wasn't That A Time?,,,,,
,All My Trials*,,,,,
,I Was Born Ten Thousand Years Ago*,,,,,
,Michael,,,,,
,Row the Boat Ashore,,,,,
,Down By The Riverside,,,,,
,Blow The Candles Out*,,,,,
,Rake And Rambling Boy*,,,,,
,Trouble In Mind*,,,,,
,Shady Grove,,,,,
,Silver Dagger,,,,,
,East Virginia,,,,,
1961/06/??,Bob and Jerry,Peninsula School graduation,,Menlo Park,CA,"(source: McNally, Jackson research)"
1961/07/??,"Jerry Garcia, Marshall Leicester and Robert Hunter",Boar's Head Coffeehouse,Carlos Book Stall,San Carlos,CA,"(*included on Before The Dead; also with unknown mandolin player; this may be opening night at the Boar's Head, based on Rodney Albin's recollection; GD vault cassette card; GD vault cassette)"
I:,Cricket On The Hearth,,,,,
,Poor Ellen Smith,,,,,
,Wildwood Flower,,,,,
,Brown's Ferry Blues*,,,,,
,Jesse James*,,,,,
,Late Last Night When Willie Came Home (Way Downtown),,,,,
,All The Good Times Are Past And Gone,,,,,
,Darling Corey,,,,,
1961/08/??,Jerry Garcia & Friends,Boar's Head Coffeehouse,Carlos Book Stall,San Carlos,CA,"(*included on Before The Dead; Jerry solo, with unknown bass player on Long Lonesome Road; date uncertain, but likely July-Sept. 1961; an additional 5 cuts circulate with Rodney and Peter Albin, David Nelson, and Robert Hunter, without Jerry: The Ballad Of Harry Pollitt, East Virginia, Woody's Rag, I'm A Good Old Rebel, The Unfortunate Man [Wealthy Old Maid])"
