normalized_venue	type	confidence	international	note
oakland alameda county coliseum	arena	high	no	coliseum arena
spectrum	arena	high	no	
winterland arena	arena	high	no	ice rink arena
madison square garden	arena	high	no	
nassau coliseum	arena	high	no	
shoreline amphitheatre	amphitheater	high	no	
henry j kaiser convention center	arena	high	no	7k convention arena
fillmore west	theater	high	no	ballroom
boston garden	arena	high	no	
omni	arena	high	no	
capital centre	arena	high	no	
cal expo	amphitheater	high	no	amphitheatre at fairgrounds
greek theatre u of california	amphitheater	high	no	
capitol theater	theater	high	no	
hampton coliseum	arena	high	no	
warfield theater	theater	high	no	
fillmore east	theater	high	no	
oakland auditorium arena	arena	high	no	
alpine valley music theatre	amphitheater	high	no	
providence civic center	arena	high	no	
berkeley community theater	theater	high	no	
hartford civic center	arena	high	no	
red rocks amphitheatre	amphitheater	high	no	
robert f kennedy stadium	stadium	high	no	
uptown theater	theater	high	no	
meadowlands arena	arena	high	no	
irvine meadows	amphitheater	high	no	
family dog at the great highway	theater	medium	no	ballroom
giants stadium	stadium	high	no	
deer creek music center	amphitheater	high	no	
sam boyd silver bowl u n l v	stadium	high	no	
avalon ballroom	theater	high	no	ballroom
boston music hall	theater	high	no	
long beach arena	arena	high	no	
mcnichols sports arena	arena	high	no	
centrum	arena	high	no	
knickerbocker arena	arena	high	no	
richfield coliseum	arena	high	no	
fillmore auditorium	theater	high	no	ballroom
charlotte coliseum	arena	high	no	
rosemont horizon	arena	high	no	
club front		high	no	rehearsal studio
ventura county fairgrounds		high	no	fairgrounds
unknown		low	no	unknown
community war memorial auditorium	arena	high	no	war memorial arena
veterans memorial coliseum	arena	high	no	
autzen stadium u of oregon	stadium	high	no	
frost amphitheatre	amphitheater	high	no	
civic arena	arena	high	no	
auditorium theatre	theater	high	no	
ace s studio		high	no	rehearsal studio
compton terrace amphitheatre	amphitheater	high	no	
san francisco civic auditorium	arena	high	no	civic auditorium arena
soldier field	stadium	high	no	
matrix		high	no	nightclub
studio		high	no	recording studio
fox theatre	theater	high	no	
springfield civic center	arena	high	no	
fox theater	theater	high	no	
cumberland county civic center	arena	high	no	
radio city music hall	theater	high	no	
rainbow theater	theater	high	yes	
palace	arena	high	no	
various		low	no	unknown
shrine auditorium	theater	medium	no	large seated auditorium
carousel ballroom	theater	high	no	ballroom
kiel auditorium	arena	high	no	municipal auditorium arena
academy of music	theater	high	no	
greensboro coliseum	arena	high	no	
sports arena	arena	high	no	
golden hall community concourse	arena	medium	no	civic center hall
pauley pavilion ucla	arena	high	no	college arena
roosevelt stadium	stadium	high	no	
baltimore civic center	arena	high	no	
soldiers and sailors memorial hall	arena	medium	no	memorial hall
dane county coliseum	arena	high	no	
club front studio		high	no	rehearsal studio
orpheum theatre	theater	high	no	
merriweather post pavilion	amphitheater	high	no	
silva hall hult center	theater	high	no	performing arts hall
marin county veterans auditorium	theater	medium	no	civic auditorium
miami arena	arena	high	no	
palladium	theater	high	no	
st paul civic center	arena	high	no	
manor downs	stadium	medium	no	horse racetrack
seattle center coliseum	arena	high	no	
rich stadium	stadium	high	no	
buckeye lake music center	amphitheater	high	no	
great western la forum	arena	high	no	
memorial stadium	stadium	high	no	
stanley theater	theater	high	no	
electric theater	theater	medium	no	ballroom
swing auditorium	arena	medium	no	civic auditorium arena
cleveland music hall	theater	high	no	
hollywood palladium	theater	medium	no	ballroom
felt forum madison square garden	arena	high	no	
strand lyceum	theater	high	yes	theatre ballroom
paramount northwest theater	theater	high	no	
paramount theatre	theater	high	no	
stanley theatre	theater	high	no	
william and mary college hall	arena	high	no	college arena
metropolitan sports center	arena	high	no	
san diego sports arena	arena	high	no	
cameron indoor stadium duke u	arena	high	no	college arena
freedom hall	arena	high	no	
tower theatre	theater	high	no	
onongada county war memorial	arena	high	no	
sportatorium	arena	high	no	
gizah sound and light theater	amphitheater	medium	yes	open-air theater at pyramids
oakland coliseum arena	arena	high	no	
glens falls civic center	arena	high	no	
west high auditorium	theater	high	no	high school auditorium
pine knob music theater	amphitheater	high	no	
carrier dome syracuse u	stadium	high	no	domed stadium
stone house studio rehearsals		high	no	rehearsal studio
saratoga performing arts center	amphitheater	high	no	
frost amphitheatre stanford university	amphitheater	high	no	
richmond coliseum	arena	high	no	
oakland alameda county coliseum stadium	stadium	high	no	
laguna seca recreation area	amphitheater	medium	no	raceway festival ground
